descripcion,monto,categoria,es_gasto_hormiga,fuente,peso,X
pasaje bus intermunicipal,55428,alimentacion,False,synthetic,1,pasaje bus intermunicipal monto:medio
indriver al el trabajo,7721,alimentacion,True,synthetic,1,indriver al el trabajo monto:bajo
venta mercado libre agosto,100000,ingreso_trabajo,False,synthetic,1,venta mercado libre agosto monto:medio
cerveza club colombia,10000,alimentacion,True,synthetic,1,cerveza club colombia monto:bajo
lonchera del niño domingo,19633,alimentacion,True,synthetic,1,lonchera del niño domingo monto:bajo
caja de compensacion familiar,45000,servicios,False,synthetic,1,caja de compensacion familiar monto:medio
papas salchipapa domingo,7799,alimentacion,True,synthetic,1,papas salchipapa domingo monto:bajo
pension colegio diciembre,450000,servicios,False,synthetic,1,pension colegio diciembre monto:alto
beca estudio mayo,400000,ingreso_trabajo,False,synthetic,1,beca estudio mayo monto:alto
bonificacion fin de año,2000000,ingreso_trabajo,False,synthetic,1,bonificacion fin de año monto:alto
transferencia familia abril,700000,ingreso_trabajo,False,synthetic,1,transferencia familia abril monto:alto
pago eps marzo,145000,servicios,False,synthetic,1,pago eps marzo monto:medio
lonchera del niño semana,18896,alimentacion,True,synthetic,1,lonchera del niño semana monto:bajo
pizza dominos,55830,alimentacion,False,synthetic,1,pizza dominos monto:medio
seguro soat abril,65000,servicios,False,synthetic,1,seguro soat abril monto:medio
sueldo part time abril,600000,ingreso_trabajo,False,synthetic,1,sueldo part time abril monto:alto
blender oster,180000,alimentacion,False,synthetic,1,blender oster monto:alto
mesada universitaria junio,700000,ingreso_trabajo,False,synthetic,1,mesada universitaria junio monto:alto
indriver al el centro,18218,alimentacion,True,synthetic,1,indriver al el centro monto:bajo
salario minimo colombia,1300000,ingreso_trabajo,False,synthetic,1,salario minimo colombia monto:alto
suscripcion rappi prime,17900,tecnologia,True,synthetic,1,suscripcion rappi prime monto:bajo
chance martes,7685,alimentacion,True,synthetic,1,chance martes monto:bajo
ingreso extra fotografía,500000,ingreso_trabajo,False,synthetic,1,ingreso extra fotografía monto:alto
raspa y gana,7578,alimentacion,True,synthetic,1,raspa y gana monto:bajo
devolución iva julio,300000,ingreso_trabajo,False,synthetic,1,devolución iva julio monto:alto
ingreso airbnb,800000,ingreso_trabajo,False,synthetic,1,ingreso airbnb monto:alto
recarga celular etb,12839,alimentacion,True,synthetic,1,recarga celular etb monto:bajo
desayuno lunes,14908,alimentacion,True,synthetic,1,desayuno lunes monto:bajo
nevera nueva semanal,2295505,alimentacion,False,synthetic,1,nevera nueva semanal monto:alto
subsidio gobierno noviembre,400000,ingreso_trabajo,False,synthetic,1,subsidio gobierno noviembre monto:alto
pago eps diciembre,100000,servicios,False,synthetic,1,pago eps diciembre monto:medio
icloud 200gb septiembre,3900,tecnologia,True,synthetic,1,icloud 200gb septiembre monto:bajo
domicilio uber eats desayuno,36573,alimentacion,True,synthetic,1,domicilio uber eats desayuno monto:medio
tetley,8000,alimentacion,True,synthetic,1,tetley monto:bajo
honorarios fotografía marzo,800000,ingreso_trabajo,False,synthetic,1,honorarios fotografía marzo monto:alto
taxi al el aeropuerto,19081,alimentacion,True,synthetic,1,taxi al el aeropuerto monto:bajo
cuota celular postpago,180000,servicios,False,synthetic,1,cuota celular postpago monto:alto
aguapanela con limón,4000,alimentacion,True,synthetic,1,aguapanela con limón monto:bajo
puchero bogotano,35574,alimentacion,False,synthetic,1,puchero bogotano monto:medio
recibo luz marzo,86293,servicios,False,synthetic,1,recibo luz marzo monto:medio
pension colegio octubre,350000,servicios,False,synthetic,1,pension colegio octubre monto:alto
mecato de mediodía,5517,alimentacion,True,synthetic,1,mecato de mediodía monto:bajo
trucha en restaurante,37754,alimentacion,False,synthetic,1,trucha en restaurante monto:medio
mayonesa hellmanns,12000,alimentacion,True,synthetic,1,mayonesa hellmanns monto:bajo
asado dominguero,273868,alimentacion,False,synthetic,1,asado dominguero monto:alto
gaseosa de pipián,3216,alimentacion,True,synthetic,1,gaseosa de pipián monto:bajo
freelance desarrollo web,1000000,ingreso_trabajo,False,synthetic,1,freelance desarrollo web monto:alto
donacion fundacion,42796,alimentacion,False,synthetic,1,donacion fundacion monto:medio
transferencia familia julio,700000,ingreso_trabajo,False,synthetic,1,transferencia familia julio monto:alto
nomina mayo,1600000,ingreso_trabajo,False,synthetic,1,nomina mayo monto:alto
seguro vida mayo,65000,servicios,False,synthetic,1,seguro vida mayo monto:medio
frutas en el mercado,45000,alimentacion,False,synthetic,1,frutas en el mercado monto:medio
tragos domingo,36428,alimentacion,True,synthetic,1,tragos domingo monto:medio
mecato mañana,3537,alimentacion,True,synthetic,1,mecato mañana monto:bajo
cochinillo regional,515608,alimentacion,False,synthetic,1,cochinillo regional monto:alto
propina domicilio,3689,alimentacion,True,synthetic,1,propina domicilio monto:bajo
ropa vieja fiesta,38000,alimentacion,True,synthetic,1,ropa vieja fiesta monto:medio
cena martes,28795,alimentacion,True,synthetic,1,cena martes monto:bajo
arriendo enero,1100000,servicios,False,synthetic,1,arriendo enero monto:alto
internet tigo noviembre,89900,servicios,False,synthetic,1,internet tigo noviembre monto:medio
icloud 5gb agosto,7900,tecnologia,True,synthetic,1,icloud 5gb agosto monto:bajo
comision enero,1000000,ingreso_trabajo,False,synthetic,1,comision enero monto:alto
seguro vida diciembre,85000,servicios,False,synthetic,1,seguro vida diciembre monto:medio
parqueadero juan valdez,13889,alimentacion,True,synthetic,1,parqueadero juan valdez monto:bajo
quincena abril,2000000,ingreso_trabajo,False,synthetic,1,quincena abril monto:alto
cuota hipoteca banco de bogotá,1800000,servicios,False,synthetic,1,cuota hipoteca banco de bogotá monto:alto
mecato mañana,5157,alimentacion,True,synthetic,1,mecato mañana monto:bajo
pescado fresco,44865,alimentacion,False,synthetic,1,pescado fresco monto:medio
mesada universitaria agosto,800000,ingreso_trabajo,False,synthetic,1,mesada universitaria agosto monto:alto
proteina whey,125305,alimentacion,False,synthetic,1,proteina whey monto:medio
tiquete san andres,707858,alimentacion,False,synthetic,1,tiquete san andres monto:alto
playstation plus diciembre,29900,tecnologia,False,synthetic,1,playstation plus diciembre monto:bajo
bono productividad junio,200000,ingreso_trabajo,False,synthetic,1,bono productividad junio monto:alto
vpn estándar mensual,19900,tecnologia,True,synthetic,1,vpn estándar mensual monto:bajo
shampoo head and shoulders,28000,alimentacion,True,synthetic,1,shampoo head and shoulders monto:bajo
transferencia bancolombia,560257,alimentacion,False,synthetic,1,transferencia bancolombia monto:alto
remesas exterior diciembre,500000,ingreso_trabajo,False,synthetic,1,remesas exterior diciembre monto:alto
beca estudio octubre,300000,ingreso_trabajo,False,synthetic,1,beca estudio octubre monto:alto
prime video amazon,17900,tecnologia,False,synthetic,1,prime video amazon monto:bajo
honorarios traducciones enero,3000000,ingreso_trabajo,False,synthetic,1,honorarios traducciones enero monto:alto
pandebono semana,3243,alimentacion,True,synthetic,1,pandebono semana monto:bajo
playstation plus marzo,19900,tecnologia,False,synthetic,1,playstation plus marzo monto:bajo
helado de arequipe,3295,alimentacion,True,synthetic,1,helado de arequipe monto:bajo
domicilio sushi,55000,alimentacion,True,synthetic,1,domicilio sushi monto:medio
transferencia familia octubre,400000,ingreso_trabajo,False,synthetic,1,transferencia familia octubre monto:alto
picada con los parces,89454,alimentacion,True,synthetic,1,picada con los parces monto:medio
clases de ingles febrero,200000,tecnologia,False,synthetic,1,clases de ingles febrero monto:alto
xbox game pass abril,29900,tecnologia,False,synthetic,1,xbox game pass abril monto:bajo
dj para la rumba,552670,alimentacion,False,synthetic,1,dj para la rumba monto:alto
mecato noche,3851,alimentacion,True,synthetic,1,mecato noche monto:bajo
nequi recarga,100000,alimentacion,False,synthetic,1,nequi recarga monto:medio
odontólogo limpieza,120000,servicios,False,synthetic,1,odontólogo limpieza monto:medio
recibo acueducto junio,82942,servicios,False,synthetic,1,recibo acueducto junio monto:medio
tiquete flota cali bogota quincenal,103620,alimentacion,False,synthetic,1,tiquete flota cali bogota quincenal monto:medio
cuota crédito nequi,400000,servicios,False,synthetic,1,cuota crédito nequi monto:alto
pension universidad noviembre,900000,servicios,False,synthetic,1,pension universidad noviembre monto:alto
subsidio gobierno mayo,300000,ingreso_trabajo,False,synthetic,1,subsidio gobierno mayo monto:alto
morral para el colegio,150000,alimentacion,False,synthetic,1,morral para el colegio monto:alto
panetón navideño quincenal,43038,alimentacion,False,synthetic,1,panetón navideño quincenal monto:medio
morral para el colegio del mes,175491,alimentacion,False,synthetic,1,morral para el colegio del mes monto:alto
arriendos recibidos agosto,400000,ingreso_trabajo,False,synthetic,1,arriendos recibidos agosto monto:alto
zapatos en mario hernandez,355900,alimentacion,False,synthetic,1,zapatos en mario hernandez monto:alto
tenis balenciaga para el trabajo,877985,alimentacion,False,synthetic,1,tenis balenciaga para el trabajo monto:alto
mercado en el exito mensual,685980,alimentacion,False,synthetic,1,mercado en el exito mensual monto:alto
plan celular wom,45000,servicios,False,synthetic,1,plan celular wom monto:medio
comision agosto,1000000,ingreso_trabajo,False,synthetic,1,comision agosto monto:alto
mecato mañana,5059,alimentacion,True,synthetic,1,mecato mañana monto:bajo
beca estudio marzo,300000,ingreso_trabajo,False,synthetic,1,beca estudio marzo monto:alto
beca estudio diciembre,400000,ingreso_trabajo,False,synthetic,1,beca estudio diciembre monto:alto
mazamorra con panela,5000,alimentacion,True,synthetic,1,mazamorra con panela monto:bajo
microsoft 365 septiembre,42900,tecnologia,False,synthetic,1,microsoft 365 septiembre monto:medio
camarones al ajillo de hoy,68195,alimentacion,False,synthetic,1,camarones al ajillo de hoy monto:medio
youtube premium noviembre,14900,tecnologia,False,synthetic,1,youtube premium noviembre monto:bajo
cafe en el puesto,6061,alimentacion,True,synthetic,1,cafe en el puesto monto:bajo
indriver al el trabajo,12821,alimentacion,True,synthetic,1,indriver al el trabajo monto:bajo
raspa y gana,9859,alimentacion,True,synthetic,1,raspa y gana monto:bajo
pollo para la semana,28000,alimentacion,False,synthetic,1,pollo para la semana monto:bajo
boleta partido millonarios,45000,alimentacion,True,synthetic,1,boleta partido millonarios monto:medio
cuota hipoteca banco de bogotá,600000,servicios,False,synthetic,1,cuota hipoteca banco de bogotá monto:alto
suscripcion app febrero,19900,tecnologia,True,synthetic,1,suscripcion app febrero monto:bajo
picada con los parces,44145,alimentacion,True,synthetic,1,picada con los parces monto:medio
desayuno domingo,11742,alimentacion,True,synthetic,1,desayuno domingo monto:bajo
pollo para la semana,25405,alimentacion,False,synthetic,1,pollo para la semana monto:bajo
nequi recarga de hoy,114340,alimentacion,False,synthetic,1,nequi recarga de hoy monto:medio
licuadora,159316,alimentacion,False,synthetic,1,licuadora monto:alto
administración edificio abril,100000,servicios,False,synthetic,1,administración edificio abril monto:medio
palomitas en el cine,18000,alimentacion,True,synthetic,1,palomitas en el cine monto:bajo
papeleria oficina,76779,alimentacion,False,synthetic,1,papeleria oficina monto:medio
internet movistar junio,69900,servicios,False,synthetic,1,internet movistar junio monto:medio
youtube premium mayo,14900,tecnologia,False,synthetic,1,youtube premium mayo monto:bajo
adobe noviembre,120000,tecnologia,False,synthetic,1,adobe noviembre monto:medio
sueldo part time marzo,1000000,ingreso_trabajo,False,synthetic,1,sueldo part time marzo monto:alto
cerveza heineken con parce,7344,alimentacion,True,synthetic,1,cerveza heineken con parce monto:bajo
concierto maluma,320000,alimentacion,False,synthetic,1,concierto maluma monto:alto
regalo san valentín del mes,114758,alimentacion,False,synthetic,1,regalo san valentín del mes monto:medio
indriver al la universidad,7771,alimentacion,True,synthetic,1,indriver al la universidad monto:bajo
tinto antes de almuerzo,2145,alimentacion,True,synthetic,1,tinto antes de almuerzo monto:bajo
sobrebarriga guisada quincenal,26513,alimentacion,False,synthetic,1,sobrebarriga guisada quincenal monto:bajo
quincena agosto,1500000,ingreso_trabajo,False,synthetic,1,quincena agosto monto:alto
comision febrero,700000,ingreso_trabajo,False,synthetic,1,comision febrero monto:alto
cena semana,29252,alimentacion,True,synthetic,1,cena semana monto:bajo
recibo acueducto diciembre,78063,servicios,False,synthetic,1,recibo acueducto diciembre monto:medio
chance del día,3000,alimentacion,True,synthetic,1,chance del día monto:bajo
pensión vejez noviembre,1500000,ingreso_trabajo,False,synthetic,1,pensión vejez noviembre monto:alto
juguetes navidad,323436,alimentacion,False,synthetic,1,juguetes navidad monto:alto
suscripcion app junio,25000,tecnologia,True,synthetic,1,suscripcion app junio monto:bajo
buseta a el aeropuerto,3730,alimentacion,True,synthetic,1,buseta a el aeropuerto monto:bajo
granizado en el parque,4000,alimentacion,True,synthetic,1,granizado en el parque monto:bajo
onces viernes,14975,alimentacion,True,synthetic,1,onces viernes monto:bajo
tenis nike,444708,alimentacion,False,synthetic,1,tenis nike monto:alto
jeans en arturo calle,243795,alimentacion,False,synthetic,1,jeans en arturo calle monto:alto
útiles escolares del niño,80589,alimentacion,False,synthetic,1,útiles escolares del niño monto:medio
bono productividad noviembre,700000,ingreso_trabajo,False,synthetic,1,bono productividad noviembre monto:alto
tinto en la tienda,2000,alimentacion,True,synthetic,1,tinto en la tienda monto:bajo
mercado en ara mensual para el trabajo,262056,alimentacion,False,synthetic,1,mercado en ara mensual para el trabajo monto:alto
onces domingo,11388,alimentacion,True,synthetic,1,onces domingo monto:bajo
veterinario consulta quincenal,122927,alimentacion,False,synthetic,1,veterinario consulta quincenal monto:medio
ingreso extra edición,100000,ingreso_trabajo,False,synthetic,1,ingreso extra edición monto:medio
servicio tecnico celular,140169,alimentacion,False,synthetic,1,servicio tecnico celular monto:medio
taxi al el banco,19562,alimentacion,True,synthetic,1,taxi al el banco monto:bajo
internet tigo octubre,49900,servicios,False,synthetic,1,internet tigo octubre monto:medio
carne para el asado,120000,alimentacion,False,synthetic,1,carne para el asado monto:medio
maquillaje mac del mes,203650,alimentacion,False,synthetic,1,maquillaje mac del mes monto:alto
dominio y hosting febrero,50000,tecnologia,False,synthetic,1,dominio y hosting febrero monto:medio
lavado en lavanderí a,33465,alimentacion,False,synthetic,1,lavado en lavanderí a monto:medio
cena sábado,17221,alimentacion,True,synthetic,1,cena sábado monto:bajo
parqueadero la cafetería,6311,alimentacion,True,synthetic,1,parqueadero la cafetería monto:bajo
galletas festival,3500,alimentacion,True,synthetic,1,galletas festival monto:bajo
domicilio glovo cena,23542,alimentacion,True,synthetic,1,domicilio glovo cena monto:bajo
carne de res kilos,45685,alimentacion,False,synthetic,1,carne de res kilos monto:medio
recibo gas octubre,82094,servicios,False,synthetic,1,recibo gas octubre monto:medio
hbo max abril,23900,tecnologia,False,synthetic,1,hbo max abril monto:bajo
pago servicio exequias mensual,35000,servicios,False,synthetic,1,pago servicio exequias mensual monto:medio
picada con los parces,68522,alimentacion,True,synthetic,1,picada con los parces monto:medio
taxi al el éxito,20392,alimentacion,True,synthetic,1,taxi al el éxito monto:bajo
ingreso plataforma digital diciembre,100000,ingreso_trabajo,False,synthetic,1,ingreso plataforma digital diciembre monto:medio
xbox game pass junio,19900,tecnologia,False,synthetic,1,xbox game pass junio monto:bajo
disney plus marzo,17900,tecnologia,False,synthetic,1,disney plus marzo monto:bajo
