descripcion,monto,categoria,es_gasto_hormiga,fuente
Arroz para seco,23241,Salidas,False,DANE_ENIG_2006_2007
Arroz para sopa,962,Salidas,True,DANE_ENIG_2006_2007
Arroz integral,1630,Salidas,True,DANE_ENIG_2006_2007
"Pastas o fideos para sopa: letras, conchitas, etc.",2534,Salidas,True,DANE_ENIG_2006_2007
"Pastas para seco: espaguetis, raviolis, macarrones, tallarines, etc.",3621,Salidas,True,DANE_ENIG_2006_2007
Avena molida,1230,Salidas,True,DANE_ENIG_2006_2007
Avena en hojuelas,1289,Salidas,True,DANE_ENIG_2006_2007
Cebada perlada,522,Salidas,True,DANE_ENIG_2006_2007
Cuchuco de cebada,610,Salidas,True,DANE_ENIG_2006_2007
Cuchuco de trigo,297,Salidas,True,DANE_ENIG_2006_2007
Harina de trigo,1765,Salidas,True,DANE_ENIG_2006_2007
Salvado de trigo,519,Salidas,True,DANE_ENIG_2006_2007
"Maíz blanco, amarillo, trillado, peto, porva, pira, millo",2579,Salidas,True,DANE_ENIG_2006_2007
Cuchuco de maíz,678,Salidas,True,DANE_ENIG_2006_2007
Harina de maíz,2120,Salidas,True,DANE_ENIG_2006_2007
Harina precocida de maíz,2057,Salidas,True,DANE_ENIG_2006_2007
Fécula de maíz (Maizena),524,Salidas,True,DANE_ENIG_2006_2007
"Harina para preparar tortas, natilla, buñuelos, etc.",793,Salidas,True,DANE_ENIG_2006_2007
Harina para coladas,631,Salidas,True,DANE_ENIG_2006_2007
Almidones de papa o yuca,545,Salidas,True,DANE_ENIG_2006_2007
"Cereales: cornflakes, rice krispis, Zucaritas, Zucosos, frut loops, trix",3130,Salidas,True,DANE_ENIG_2006_2007
Cereales para la alimentación infantil,1150,Salidas,True,DANE_ENIG_2006_2007
"Ajonjolí, soya",677,Salidas,True,DANE_ENIG_2006_2007
"Masas para la preparación de productos de panadería o pastelería (trigo, maíz, soya)",2104,Salidas,True,DANE_ENIG_2006_2007
Arepas crudas o precocidas,9890,Salidas,True,DANE_ENIG_2006_2007
"Bollos y envueltos precocidos, quiches, tamales",6475,Salidas,True,DANE_ENIG_2006_2007
"Gérmen de trigo, lecitina, levadura de cerveza (alimentos naturistas)",576,Salidas,True,DANE_ENIG_2006_2007
"Comidas preparadas precocidas a base de cereales (lasagna, pizza, empanadas)",3403,Salidas,True,DANE_ENIG_2006_2007
Carve,443,Salidas,True,DANE_ENIG_2006_2007
"Pan corriente, con queso, aliñado, mogolla, relleno, pan de coco, calado, tajado, árabe",15727,Salidas,False,DANE_ENIG_2006_2007
Pan francés,5075,Salidas,True,DANE_ENIG_2006_2007
Pan integral,3949,Salidas,True,DANE_ENIG_2006_2007
Galletas de sal,5419,Salidas,True,DANE_ENIG_2006_2007
Galletas de dulce (de panadería y de paquete),3202,Salidas,True,DANE_ENIG_2006_2007
Galletas integrales (de panadería y de paquete),1232,Salidas,True,DANE_ENIG_2006_2007
"Otros productos de panadería no mencionados previamente: brownies, obleas, ponques",6369,Salidas,True,DANE_ENIG_2006_2007
Carne de res sin hueso o pulpa,46406,Salidas,False,DANE_ENIG_2006_2007
Carne de res con hueso,15873,Salidas,False,DANE_ENIG_2006_2007
Hueso de res,6113,Salidas,True,DANE_ENIG_2006_2007
Carne molida de res,5836,Salidas,True,DANE_ENIG_2006_2007
Lengua de res,2507,Salidas,True,DANE_ENIG_2006_2007
"Hígado, riñones, corazón, sesos, tripa y otras vísceras de res",5350,Salidas,True,DANE_ENIG_2006_2007
"Patas, manos, cola y cabeza de res",1061,Salidas,True,DANE_ENIG_2006_2007
Carne de cerdo sin hueso o pulpa,20384,Salidas,False,DANE_ENIG_2006_2007
Carne de cerdo con hueso,7408,Salidas,True,DANE_ENIG_2006_2007
Carne molida de cerdo,2010,Salidas,True,DANE_ENIG_2006_2007
Hueso de cerdo (espinazo y otros huesos),1868,Salidas,True,DANE_ENIG_2006_2007
Tocino y garra,3647,Salidas,True,DANE_ENIG_2006_2007
"Hígado, riñones, corazón, tripa y otras vísceras de cerdo",2277,Salidas,True,DANE_ENIG_2006_2007
"Patas, manos, cola y cabeza de cerdo",1287,Salidas,True,DANE_ENIG_2006_2007
