descripcion,monto,categoria,es_gasto_hormiga
pasaje bus intermunicipal,55428,Salidas,False
indriver al el trabajo,7721,Salidas,True
venta mercado libre agosto,100000,Ingresos,False
cerveza club colombia,10000,Salidas,True
lonchera del niño domingo,19633,Salidas,True
caja de compensacion familiar,45000,Fijos,False
papas salchipapa domingo,7799,Salidas,True
pension colegio diciembre,450000,Fijos,False
beca estudio mayo,400000,Ingresos,False
bonificacion fin de año,2000000,Ingresos,False
transferencia familia abril,700000,Ingresos,False
pago eps marzo,145000,Fijos,False
lonchera del niño semana,18896,Salidas,True
pizza dominos,55830,Salidas,False
seguro soat abril,65000,Fijos,False
sueldo part time abril,600000,Ingresos,False
blender oster,180000,Salidas,False
mesada universitaria junio,700000,Ingresos,False
indriver al el centro,18218,Salidas,True
salario minimo colombia,1300000,Ingresos,False
suscripcion rappi prime,17900,Susc.,True
chance martes,7685,Salidas,True
ingreso extra fotografía,500000,Ingresos,False
raspa y gana,7578,Salidas,True
devolución iva julio,300000,Ingresos,False
ingreso airbnb,800000,Ingresos,False
recarga celular etb,12839,Salidas,True
desayuno lunes,14908,Salidas,True
nevera nueva semanal,2295505,Salidas,False
subsidio gobierno noviembre,400000,Ingresos,False
pago eps diciembre,100000,Fijos,False
icloud 200gb septiembre,3900,Susc.,True
domicilio uber eats desayuno,36573,Salidas,True
tetley,8000,Salidas,True
honorarios fotografía marzo,800000,Ingresos,False
taxi al el aeropuerto,19081,Salidas,True
cuota celular postpago,180000,Fijos,False
aguapanela con limón,4000,Salidas,True
puchero bogotano,35574,Salidas,False
recibo luz marzo,86293,Fijos,False
pension colegio octubre,350000,Fijos,False
mecato de mediodía,5517,Salidas,True
trucha en restaurante,37754,Salidas,False
mayonesa hellmanns,12000,Salidas,True
asado dominguero,273868,Salidas,False
gaseosa de pipián,3216,Salidas,True
freelance desarrollo web,1000000,Ingresos,False
donacion fundacion,42796,Salidas,False
transferencia familia julio,700000,Ingresos,False
nomina mayo,1600000,Ingresos,False
seguro vida mayo,65000,Fijos,False
frutas en el mercado,45000,Salidas,False
tragos domingo,36428,Salidas,True
mecato mañana,3537,Salidas,True
cochinillo regional,515608,Salidas,False
propina domicilio,3689,Salidas,True
ropa vieja fiesta,38000,Salidas,True
cena martes,28795,Salidas,True
arriendo enero,1100000,Fijos,False
internet tigo noviembre,89900,Fijos,False
icloud 5gb agosto,7900,Susc.,True
comision enero,1000000,Ingresos,False
seguro vida diciembre,85000,Fijos,False
parqueadero juan valdez,13889,Salidas,True
quincena abril,2000000,Ingresos,False
cuota hipoteca banco de bogotá,1800000,Fijos,False
mecato mañana,5157,Salidas,True
pescado fresco,44865,Salidas,False
mesada universitaria agosto,800000,Ingresos,False
proteina whey,125305,Salidas,False
tiquete san andres,707858,Salidas,False
playstation plus diciembre,29900,Susc.,False
bono productividad junio,200000,Ingresos,False
vpn estándar mensual,19900,Susc.,True
shampoo head and shoulders,28000,Salidas,True
transferencia bancolombia,560257,Salidas,False
remesas exterior diciembre,500000,Ingresos,False
beca estudio octubre,300000,Ingresos,False
prime video amazon,17900,Susc.,False
honorarios traducciones enero,3000000,Ingresos,False
pandebono semana,3243,Salidas,True
playstation plus marzo,19900,Susc.,False
helado de arequipe,3295,Salidas,True
domicilio sushi,55000,Salidas,True
transferencia familia octubre,400000,Ingresos,False
picada con los parces,89454,Salidas,True
clases de ingles febrero,200000,Susc.,False
xbox game pass abril,29900,Susc.,False
dj para la rumba,552670,Salidas,False
mecato noche,3851,Salidas,True
nequi recarga,100000,Salidas,False
odontólogo limpieza,120000,Fijos,False
recibo acueducto junio,82942,Fijos,False
tiquete flota cali bogota quincenal,103620,Salidas,False
cuota crédito nequi,400000,Fijos,False
pension universidad noviembre,900000,Fijos,False
subsidio gobierno mayo,300000,Ingresos,False
morral para el colegio,150000,Salidas,False
panetón navideño quincenal,43038,Salidas,False
morral para el colegio del mes,175491,Salidas,False
arriendos recibidos agosto,400000,Ingresos,False
zapatos en mario hernandez,355900,Salidas,False
tenis balenciaga para el trabajo,877985,Salidas,False
mercado en el exito mensual,685980,Salidas,False
plan celular wom,45000,Fijos,False
comision agosto,1000000,Ingresos,False
mecato mañana,5059,Salidas,True
beca estudio marzo,300000,Ingresos,False
beca estudio diciembre,400000,Ingresos,False
mazamorra con panela,5000,Salidas,True
microsoft 365 septiembre,42900,Susc.,False
camarones al ajillo de hoy,68195,Salidas,False
youtube premium noviembre,14900,Susc.,False
cafe en el puesto,6061,Salidas,True
indriver al el trabajo,12821,Salidas,True
raspa y gana,9859,Salidas,True
pollo para la semana,28000,Salidas,False
boleta partido millonarios,45000,Salidas,True
cuota hipoteca banco de bogotá,600000,Fijos,False
suscripcion app febrero,19900,Susc.,True
picada con los parces,44145,Salidas,True
desayuno domingo,11742,Salidas,True
pollo para la semana,25405,Salidas,False
nequi recarga de hoy,114340,Salidas,False
licuadora,159316,Salidas,False
administración edificio abril,100000,Fijos,False
palomitas en el cine,18000,Salidas,True
papeleria oficina,76779,Salidas,False
internet movistar junio,69900,Fijos,False
youtube premium mayo,14900,Susc.,False
adobe noviembre,120000,Susc.,False
sueldo part time marzo,1000000,Ingresos,False
cerveza heineken con parce,7344,Salidas,True
concierto maluma,320000,Salidas,False
regalo san valentín del mes,114758,Salidas,False
indriver al la universidad,7771,Salidas,True
tinto antes de almuerzo,2145,Salidas,True
sobrebarriga guisada quincenal,26513,Salidas,False
quincena agosto,1500000,Ingresos,False
comision febrero,700000,Ingresos,False
cena semana,29252,Salidas,True
recibo acueducto diciembre,78063,Fijos,False
chance del día,3000,Salidas,True
pensión vejez noviembre,1500000,Ingresos,False
juguetes navidad,323436,Salidas,False
suscripcion app junio,25000,Susc.,True
buseta a el aeropuerto,3730,Salidas,True
granizado en el parque,4000,Salidas,True
onces viernes,14975,Salidas,True
tenis nike,444708,Salidas,False
jeans en arturo calle,243795,Salidas,False
útiles escolares del niño,80589,Salidas,False
bono productividad noviembre,700000,Ingresos,False
tinto en la tienda,2000,Salidas,True
mercado en ara mensual para el trabajo,262056,Salidas,False
onces domingo,11388,Salidas,True
veterinario consulta quincenal,122927,Salidas,False
ingreso extra edición,100000,Ingresos,False
servicio tecnico celular,140169,Salidas,False
taxi al el banco,19562,Salidas,True
internet tigo octubre,49900,Fijos,False
carne para el asado,120000,Salidas,False
maquillaje mac del mes,203650,Salidas,False
dominio y hosting febrero,50000,Susc.,False
lavado en lavanderí a,33465,Salidas,False
cena sábado,17221,Salidas,True
parqueadero la cafetería,6311,Salidas,True
galletas festival,3500,Salidas,True
domicilio glovo cena,23542,Salidas,True
carne de res kilos,45685,Salidas,False
recibo gas octubre,82094,Fijos,False
hbo max abril,23900,Susc.,False
pago servicio exequias mensual,35000,Fijos,False
picada con los parces,68522,Salidas,True
taxi al el éxito,20392,Salidas,True
ingreso plataforma digital diciembre,100000,Ingresos,False
xbox game pass junio,19900,Susc.,False
disney plus marzo,17900,Susc.,False
pack 6 cervezas águila,28000,Salidas,True
administración edificio marzo,200000,Fijos,False
administración edificio septiembre,250000,Fijos,False
papas salchipapa jueves,11159,Salidas,True
cuota hipoteca itaú,900000,Fijos,False
